['EzypoIiorz', 'Tobusaurus', '0-1, Tobusaurus won on time', '2021.11.03', "King's Pawn Game: Damiano Defense", None]
['alialaneda', 'EzypoIiorz', '1-0, alialaneda won - game abandoned', '2021.11.16', "Petrov's Defense", None]
['mcnoe83', 'EzypoIiorz', '1-0, mcnoe83 won by checkmate', '2024.06.16', "King's Pawn Game: Wayward Queen Attack", None]
['wanntoyou', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.06.16', 'Vienna Game: Fyfe Gambit', None]
['EzypoIiorz', 'pancakes2857', '1/2-1/2, Game drawn by agreement', '2024.10.13', 'Mikenas Defense', None]
['EzypoIiorz', 'xX_CornFan78_Xx', '1-0, EzypoIiorz won by resignation', '2024.10.15', "Queen's Pawn Game", None]
['xX_CornFan78_Xx', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.10.15', 'Blackmar-Diemer Gambit', None]
['xX_CornFan78_Xx', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.10.15', 'Center Game', None]
['EzypoIiorz', 'xX_CornFan78_Xx', '1-0, EzypoIiorz won by checkmate', '2024.10.15', 'Barnes Opening: Gedult Gambit', None]
['EzypoIiorz', 'VitaliiErendjenov', '1/2-1/2, Game drawn by agreement', '2024.10.16', 'Amsterdam Attack', None]
['EzypoIiorz', 'flying-hippos', '0-1, flying-hippos won by checkmate', '2024.10.17', 'Amsterdam Attack', None]
['RodneyMLP', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.10.17', "King's Pawn Game: Philidor Gambit", None]
['Noob-Akib', 'EzypoIiorz', '1-0, Noob-Akib won by resignation', '2024.10.18', 'Philidor Defense', None]
['EzypoIiorz', 'Dmitriy_shahmatist', '0-1, Dmitriy_shahmatist won by resignation', '2024.11.04', 'Philidor Defense', None]
['EzypoIiorz', 'GigaPommes', '1-0, EzypoIiorz won on time', '2024.11.07', "King's Pawn Game: King's Head Opening", None]
['gabrielstahl', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.11.14', 'Vienna Game: Omaha Gambit', None]
['EzypoIiorz', 'gabrielstahl', '1/2-1/2, Game drawn by stalemate', '2024.11.14', 'English Opening: Symmetrical Variation', None]
['Gokussj45565e', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.11.17', 'Kádas Opening: Kádas Gambit', None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won by resignation', '2024.11.18', "Queen's Pawn Game", None]
['gabrielstahl', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.11.18', 'Bird Opening: Dutch Variation', None]
['gabrielstahl', 'EzypoIiorz', '1-0, gabrielstahl won by resignation', '2024.11.18', "English Opening: King's English Variation, Kahiko-Hula Gambit", None]
['EzypoIiorz', 'cihuy29', '1-0, EzypoIiorz won by resignation', '2024.11.19', "Queen's Pawn Game", None]
['arstudioinkannada', 'EzypoIiorz', '1-0, arstudioinkannada won by resignation', '2024.11.19', "King's Pawn Game: Wayward Queen Attack", None]
['EzypoIiorz', 'OLEXUR', '1-0, EzypoIiorz won by resignation', '2024.12.19', 'Scandinavian Defense', None]
['EzypoIiorz', 'AleBone19', '0-1, AleBone19 won - game abandoned', '2024.12.19', "Queen's Pawn Game", None]
['xX_CornFan78_Xx', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.12.19', "Queen's Gambit", None]
['EzypoIiorz', 'tiaozhan', '0-1, tiaozhan won by resignation', '2024.12.19', "Queen's Pawn Game", None]
['3issa8808', 'EzypoIiorz', '1-0, 3issa8808 won by checkmate', '2024.12.20', "Bishop's Opening: Philidor Counterattack", None]
['EzypoIiorz', 'ThomasN1980', '0-1, ThomasN1980 won by checkmate', '2024.12.20', 'Mikenas Defense', None]
['Meet-Rathva', 'EzypoIiorz', '1-0, Meet-Rathva won by resignation', '2024.12.20', 'Philidor Defense', None]
['EzypoIiorz', 'TomasKKLEI', '0-1, TomasKKLEI won by resignation', '2024.12.21', 'Rat Defense: Small Center Defense', None]
['EzypoIiorz', 'mildhybrid', '0-1, mildhybrid won by resignation', '2024.12.21', "Queen's Pawn Game", None]
['Abhi_9710', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.12.21', "King's Pawn Game: Tortoise Opening", None]
['EzypoIiorz', 'Fusa_Querty', '1-0, EzypoIiorz won - game abandoned', '2024.12.21', "Queen's Pawn Game", None]
['sumeet8055', 'EzypoIiorz', '1-0, sumeet8055 won by checkmate', '2024.12.21', "King's Pawn Game: Beyer Gambit", None]
['youtube123450', 'EzypoIiorz', '1-0, youtube123450 won by resignation', '2024.12.21', 'Zukertort Opening: Wade Defense', None]
['simonhaaa', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.12.21', "King's Pawn Game: Napoleon Attack", None]
['EzypoIiorz', 'nikhil98shirke', '0-1, nikhil98shirke won by resignation', '2024.12.21', "Queen's Pawn Game: Anglo-Slav Opening", None]
['bcheron', 'EzypoIiorz', '1-0, bcheron won by checkmate', '2024.12.21', "King's Pawn Game: Philidor Gambit", None]
['EzypoIiorz', 'Lemensi04', '0-1, Lemensi04 won by checkmate', '2024.12.21', 'Horwitz Defense', None]
['EzypoIiorz', 'IitRiit', '0-1, IitRiit won by resignation', '2024.12.22', 'Pterodactyl Defense: Eastern, Benoni', None]
['Eugene17032', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.12.23', "Queen's Pawn Game", None]
['EzypoIiorz', 'jib_lcf', '1-0, EzypoIiorz won by resignation', '2024.12.26', "King's Pawn Game: MacLeod Attack", None]
['Kurouzawa', 'EzypoIiorz', '1-0, Kurouzawa won by checkmate', '2024.12.29', 'Philidor Defense: Lion Variation', None]
['EzypoIiorz', 'Artemx1989x', '0-1, Artemx1989x won by checkmate', '2024.12.29', "Queen's Pawn Game", None]
